Subject,Start Date,Start Time,End Date,End Time
Day 1 Lesson 36,5/2/2017,7:00 AM,5/2/2017,7:00 AM
HI302,5/2/2017,8:40 AM,5/2/2017,9:35 AM
MX400,5/2/2017,9:50 AM,5/2/2017,10:45 AM
CS400,5/2/2017,11:00 AM,5/2/2017,11:55 AM
LW403,5/2/2017,1:55 PM,5/2/2017,2:50 PM
Day 1 Lesson 37,5/4/2017,7:00 AM,5/4/2017,7:00 AM
HI302,5/4/2017,8:40 AM,5/4/2017,9:35 AM
MX400,5/4/2017,9:50 AM,5/4/2017,10:45 AM
CS400,5/4/2017,11:00 AM,5/4/2017,11:55 AM
LW403,5/4/2017,1:55 PM,5/4/2017,2:50 PM
Day 2 Lesson 36,5/1/2017,7:00 AM,5/1/2017,7:00 AM
IT383,5/1/2017,7:30 AM,5/1/2017,8:25 AM
CS489,5/1/2017,8:40 AM,5/1/2017,9:35 AM
Day 2 Lesson 37,5/3/2017,7:00 AM,5/3/2017,7:00 AM
IT383,5/3/2017,7:30 AM,5/3/2017,8:25 AM
CS489,5/3/2017,8:40 AM,5/3/2017,9:35 AM
Day 2 Lesson 38,5/6/2017,7:00 AM,5/6/2017,7:00 AM
IT383,5/6/2017,7:30 AM,5/6/2017,8:25 AM
CS489,5/6/2017,8:40 AM,5/6/2017,9:35 AM
